INFO  - 2023-03-29 16:29:52.160; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:29:52.500; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:30:30.715; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:30:31.007; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:30:31.246; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:31:58.059; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:31:58.394; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:31:58.655; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:31:58.883; testScripts.OpenAccount; Selected Customer Name
INFO  - 2023-03-29 16:31:59.082; testScripts.OpenAccount; Selected Currency
INFO  - 2023-03-29 16:31:59.146; testScripts.OpenAccount; Process Button Clicked, Account Should Be Added
INFO  - 2023-03-29 16:35:40.688; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:35:41.031; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:35:41.283; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:35:41.504; testScripts.OpenAccount; Selected Customer Name
INFO  - 2023-03-29 16:35:41.724; testScripts.OpenAccount; Selected Currency
INFO  - 2023-03-29 16:35:41.781; testScripts.OpenAccount; Process Button Clicked, Account Should Be Added
INFO  - 2023-03-29 16:38:10.990; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:38:11.314; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:38:11.562; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:38:11.833; testScripts.OpenAccount; Selected Customer Name
INFO  - 2023-03-29 16:38:11.924; testScripts.OpenAccount; Selected Currency
INFO  - 2023-03-29 16:38:11.981; testScripts.OpenAccount; Process Button Clicked, Account Should Be Added
INFO  - 2023-03-29 16:38:48.372; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:38:48.709; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:38:48.948; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:38:49.173; testScripts.OpenAccount; Selected Customer Name
INFO  - 2023-03-29 16:38:49.389; testScripts.OpenAccount; Selected Currency
INFO  - 2023-03-29 16:38:49.446; testScripts.OpenAccount; Process Button Clicked, Account Should Be Added
INFO  - 2023-03-29 16:39:16.488; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:39:16.803; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:39:17.046; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:39:17.287; testScripts.OpenAccount; Selected Customer Name
INFO  - 2023-03-29 16:39:17.510; testScripts.OpenAccount; Selected Currency
INFO  - 2023-03-29 16:39:17.579; testScripts.OpenAccount; Process Button Clicked, Account Should Be Added
INFO  - 2023-03-29 16:40:00.041; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:40:00.365; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:40:00.598; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:40:00.809; testScripts.OpenAccount; Selected Customer Name
INFO  - 2023-03-29 16:40:00.897; testScripts.OpenAccount; Selected Currency
INFO  - 2023-03-29 16:40:00.956; testScripts.OpenAccount; Process Button Clicked, Account Should Be Added
INFO  - 2023-03-29 16:40:10.583; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:40:10.912; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:40:11.159; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:40:11.412; testScripts.OpenAccount; Selected Customer Name
INFO  - 2023-03-29 16:40:11.643; testScripts.OpenAccount; Selected Currency
INFO  - 2023-03-29 16:40:11.703; testScripts.OpenAccount; Process Button Clicked, Account Should Be Added
INFO  - 2023-03-29 16:40:11.707; testScripts.OpenAccount; expected [false] but found [true]
INFO  - 2023-03-29 16:40:53.913; testScripts.OpenAccount; Starting OpenAccount
INFO  - 2023-03-29 16:40:54.188; testScripts.OpenAccount; Logged in as manager
INFO  - 2023-03-29 16:40:54.430; testScripts.OpenAccount; Clicked Open Account Button
INFO  - 2023-03-29 16:40:54.641; testScripts.OpenAccount; Selected Customer Name
INFO  - 2023-03-29 16:40:54.729; testScripts.OpenAccount; Selected Currency
INFO  - 2023-03-29 16:40:54.785; testScripts.OpenAccount; Process Button Clicked, Account Should Be Added
INFO  - 2023-03-29 16:40:54.790; testScripts.OpenAccount; expected [false] but found [true]
